scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Anthus rufulus,Anthus rufulus,Paddyfield Pipit,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Anthus rufulus_Paddyfield Pipit,True
Apus nipalensis,Apus nipalensis,House Swift,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_hotspot_L7940372,Apus nipalensis_House Swift,True
Arachnothera chrysogenys,Arachnothera chrysogenys,Yellow-eared Spiderhunter,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Arachnothera chrysogenys_Yellow-eared Spiderhunter,True
Arachnothera crassirostris,Arachnothera crassirostris,Thick-billed Spiderhunter,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Arachnothera crassirostris_Thick-billed Spiderhunter,True
Arachnothera flavigaster,Arachnothera flavigaster,Spectacled Spiderhunter,,True,False,False,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Arachnothera flavigaster_Spectacled Spiderhunter,True
Arachnothera longirostra,Arachnothera longirostra,Little Spiderhunter,,True,True,True,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Arachnothera longirostra_Little Spiderhunter,True
Ardea intermedia,Ardea intermedia,Intermediate Egret,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Ardea intermedia_Intermediate Egret,True
Ardea purpurea,Ardea purpurea,Purple Heron,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_DanauMenjukut,Ardea purpurea_Purple Heron,True
Ardea sumatrana,Ardea sumatrana,Great-billed Heron,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Ardea sumatrana_Great-billed Heron,True
Arenaria interpres,Arenaria interpres,Ruddy Turnstone,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Arenaria interpres_Ruddy Turnstone,True
Argusianus argus,Argusianus argus,Great Argus,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Argusianus argus_Great Argus,True
Aviceda jerdoni,Aviceda jerdoni,Jerdon’s Baza,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail;ebird_hotspot_L7940372,Aviceda jerdoni_Jerdon's Baza,True
Batrachostomus cornutus,Batrachostomus cornutus,Sunda Frogmouth,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Batrachostomus cornutus_Sunda Frogmouth,True
Berenicornis comatus,Berenicornis comatus,White-crowned Hornbill,NT,True,True,True,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Berenicornis comatus_White-crowned Hornbill,True
Blythipicus rubiginosus,Blythipicus rubiginosus,Maroon Woodpecker,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Blythipicus rubiginosus_Maroon Woodpecker,True
Bubo sumatranus,Bubo sumatranus,Barred Eagle Owl,,True,False,True,lowland,False,False,gooddie2015,Bubo sumatranus_Barred Eagle-Owl,True
Buceros bicornis,Buceros bicornis,Great Hornbill,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_ForestTrail,Buceros bicornis_Great Hornbill,True
Buceros rhinoceros,Buceros rhinoceros,Rhinoceros Hornbill,NT,True,True,True,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Buceros rhinoceros_Rhinoceros Hornbill,True
Butorides striata,Butorides striata,Green-backed Heron,,True,False,False,lowland,False,False,gooddie2015,Butorides striata_Striated Heron,True
Cacomantis merulinus,Cacomantis merulinus,Plaintive Cuckoo,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Cacomantis merulinus_Plaintive Cuckoo,True
Cacomantis sonneratii,Cacomantis sonneratii,Banded Bay Cuckoo,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Cacomantis sonneratii_Banded Bay Cuckoo,True
Calidris alba,Calidris alba,Sanderling,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Calidris alba_Sanderling,True
Calidris ferruginea,Calidris ferruginea,Curlew Sandpiper,,True,False,False,lowland,False,False,gooddie2015,Calidris ferruginea_Curlew Sandpiper,True
Calorhamphus hayii,Caloramphus fuliginosus,Malay Brown Barbet,NT,True,True,False,lowland,False,False,gooddie2015,Caloramphus fuliginosus_Brown Barbet,True
Calyptomena viridis,Calyptomena viridis,Green Broadbill,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;andriyani2022;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Calyptomena viridis_Green Broadbill,True
Caprimulgus macrurus,Caprimulgus macrurus,Large-tailed Nightjar,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Caprimulgus macrurus_Large-tailed Nightjar,True
Centropus bengalensis,Centropus bengalensis,Lesser Coucal,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Centropus bengalensis_Lesser Coucal,True
